Title,Year,,
Come and See,1985,,
12 Angry Men,1957,,
Seven Samurai,1954,,
The Godfather: Part II,1974,,
High and Low,1963,,
The Human Condition III: A Soldier's Prayer,1961,,
The Shawshank Redemption,1994,,
Parasite,2019,,
The Godfather,1972,,
Yi Yi,2000,,
City of God,2002,,
Schindler's List,1993,,
Ikiru,1952,,
The Lord of the Rings: The Return of the King,2003,,
The Human Condition I: No Greater Love,1959,,
La Haine,1995,,
Ran,1985,,
A Brighter Summer Day,1991,,
"The Good, the Bad and the Ugly",1966,,
GoodFellas,1990,,
The Dark Knight,2008,,
Neon Genesis Evangelion: The End of Evangelion,1997,,
Autumn Sonata,1978,,
Cinema Paradiso,1988,,
Grave of the Fireflies,1988,,
Le Trou,1960,,
There Will Be Blood,2007,,
Woman in the Dunes,1964,,
Spirited Away,2001,,
Paths of Glory,1957,,
Apocalypse Now,1979,,
Spider-Man: Across the Spider-Verse,2023,,
Sunset Boulevard,1950,,
The Apartment,1960,,
Tokyo Story,1953,,
Dune: Part Two,2024,,
Andrei Rublev,1966,,
The Passion of Joan of Arc,1928,,
Portrait of a Lady on Fire,2019,,
Whiplash,2014,,
The Human Condition II: Road to Eternity,1959,,
Mishima: A Life in Four Chapters,1985,,
Stalker,1979,,
Close-Up,1990,,
Spider-Man: Into the Spider-Verse,2018,,
Fanny and Alexander,1982,,
Incendies,2010,,
Memories of Murder,2003,,
The Cranes Are Flying,1957,,
Persona,1966,,
The Handmaiden,2016,,
The Empire Strikes Back,1980,,
The Battle of Algiers,1966,,
The Lord of the Rings: The Two Towers,2002,,
Do the Right Thing,1989,,
A Woman Under the Influence,1974,,
In the Mood for Love,2000,,
Sansho the Bailiff,1954,,
Barry Lyndon,1975,,
The Red Shoes,1948,,
The Ascent,1977,,
"Paris, Texas",1984,,
Perfect Blue,1997,,
It's a Wonderful Life,1946,,
Once Upon a Time in the West,1968,,
Oldboy,2003,,
I Am Cuba,1964,,
It's Such a Beautiful Day,2012,,
Look Back,2024,,
Nights of Cabiria,1957,,
The Pianist,2002,,
Rear Window,1954,,
Princess Mononoke,1997,,
Sherlock Jr.,1924,,
Lawrence of Arabia,1962,,
The Lord of the Rings: The Fellowship of the Ring,2001,,
Love Exposure,2008,,
Gintama: The Very Final,2021,,
Nobody Knows,2004,,
Interstellar,2014,,
Satantango,1994,,
A Separation,2011,,
Eternity and a Day,1998,,
One Flew Over the Cuckoo's Nest,1975,,
Witness for the Prosecution,1957,,
The Thing,1982,,
Where Is the Friend's House?,1987,,
Life Is Beautiful,1997,,
Red Beard,1965,,
A Man Escaped,1956,,
Inglourious Basterds,2009,,
All About Eve,1950,,
The Seventh Seal,1957,,
Army of Shadows,1969,,
City Lights,1931,,
Paper Moon,1973,,
Three Colours: Red,1994,,
Landscape in the Mist,1988,,
An Elephant Sitting Still,2018,,
Before Sunset,2004,,
Ordet,1955,,
Mirror,1975,,
Wild Strawberries,1957,,
The Silence of the Lambs,1991,,
Apur Sansar,1959,,
Se7en,1995,,
Howl's Moving Castle,2004,,
Late Spring,1949,,
Before Sunrise,1995,,
Singin' in the Rain,1952,,
The Wages of Fear,1953,,
Amadeus,1984,,
No Country for Old Men,2007,,
All That Jazz,1979,,
Still Walking,2008,,
Psycho,1960,,
Good Will Hunting,1997,,
Brief Encounter,1945,,
The 400 Blows,1959,,
The Great Dictator,1940,,
Taste of Cherry,1997,,
Mommy,2014,,
The Departed,2006,,
Farewell My Concubine,1993,,
M,1931,,
Dog Day Afternoon,1975,,
To Be or Not to Be,1942,,
Z,1969,,
Revue Starlight: The Movie,2021,,
Monster,2023,,
The Young Girls of Rochefort,1967,,
Funeral Parade of Roses,1969,,
The Sacrifice,1986,,
Werckmeister Harmonies,2000,,
Pather Panchali,1955,,
Wings of Desire,1987,,
Tampopo,1985,,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,
Bicycle Thieves,1948,,
Yojimbo,1961,,
Children of Men,2006,,
Raise the Red Lantern,1991,,
Shoplifters,2018,,
8½,1963,,
Prisoners,2013,,
Death of Yazdgerd,1982,,
Chinatown,1974,,
The Fifth Seal,1976,,
Chungking Express,1994,,
Rocco and His Brothers,1960,,
Das Boot,1981,,
Everything Everywhere All at Once,2022,,
A Special Day,1977,,
2001: A Space Odyssey,1968,,
How to Make Millions Before Grandma Dies,2024,,
The Father,2020,,
The Celebration,1998,,
The Hunt,2012,,
Django Unchained,2012,,
The Treasure of the Sierra Madre,1948,,
Terminator 2: Judgment Day,1991,,
The Best of Youth,2003,,
The Weeping Meadow,2004,,
The Lives of Others,2006,,
Central Station,1998,,
Dead Poets Society,1989,,
Anora,2024,,
Akira,1988,,
Fantastic Mr. Fox,2009,,
Heat,1995,,
La Dolce Vita,1960,,
The Wild Robot,2024,,
Perfect Days,2023,,
La Notte,1961,,
Fight Club,1999,,
Casablanca,1942,,
Throne of Blood,1957,,
Nostalgia,1983,,
Sing Sing,2023,,
Modern Times,1936,,
Opening Night,1977,,
Judgment at Nuremberg,1961,,
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,,
Underground,1995,,
Network,1976,,
Alien,1979,,
"War and Peace, Part III: The Year 1812",1967,,
Double Indemnity,1944,,
The Night of the Hunter,1955,,
Pulp Fiction,1994,,
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,,
The Man Who Shot Liberty Valance,1962,,
Children of Paradise,1945,,
The Cremator,1969,,
Devils on the Doorstep,2000,,
The Third Man,1949,,
Metropolis,1927,,
Ugetsu,1953,,
Ace in the Hole,1951,,
Who's Afraid of Virginia Woolf?,1966,,
Cure,1997,,
Samurai Rebellion,1967,,
Some Like It Hot,1959,,
Rififi,1955,,
The Iron Giant,1999,,
Eternal Sunshine of the Spotless Mind,2004,,
"Life, and Nothing More...",1992,,
Sorcerer,1977,,
Dersu Uzala,1975,,
Secrets & Lies,1996,,
Raging Bull,1980,,
Mulholland Drive,2001,,
Sweet Smell of Success,1957,,
The Tale of the Princess Kaguya,2013,,
The Grand Budapest Hotel,2014,,
A Matter of Life and Death,1946,,
Eureka,2000,,
The Prestige,2006,,
Umberto D.,1952,,
Solaris,1972,,
Le Samouraï,1967,,
Winter Light,1963,,
The King of Comedy,1982,,
Saving Private Ryan,1998,,
The Elephant Man,1980,,
The Shining,1980,,
Vertigo,1958,,
Marcel the Shell with Shoes On,2021,,
Ritual,2000,,
Mary and Max,2009,,
The Bridge on the River Kwai,1957,,
Napoleon,1927,,
The Company of Strangers,1990,,
The Green Mile,1999,,
Aftersun,2022,,
Aparajito,1956,,
The First Slam Dunk,2022,,
The New Land,1972,,
Still Life,1974,,
Anatomy of a Murder,1959,,
Rashomon,1950,,
"4 Months, 3 Weeks and 2 Days",2007,,
Millennium Actress,2001,,
The Face of Another,1966,,
Swing Girls,2004,,
Make Way for Tomorrow,1937,,
Malcolm X,1992,,
The Life and Death of Colonel Blimp,1943,,
Amour,2012,,
The Best Years of Our Lives,1946,,
The Holdovers,2023,,
An Autumn Afternoon,1962,,
The Lion King,1994,,
Magnolia,1999,,
Kwaidan,1964,,
Kes,1969,,
The Disappearance of Haruhi Suzumiya,2010,,
Happy Hour,2015,,
Happy Together,1997,,
The Big City,1963,,
Your Name.,2016,,
Tokyo Godfathers,2003,,
Kizumonogatari Part 3: Reiketsu,2017,,
Il Sorpasso,1962,,
Once Upon a Time in America,1984,,
"Rio, Zona Norte",1957,,
Oppenheimer,2023,,
Ratatouille,2007,,
Cries and Whispers,1972,,
Song of the Sea,2014,,
Boogie Nights,1997,,
The White Ribbon,2009,,
Rosemary's Baby,1968,,
A Moment of Innocence,1996,,
"Quo Vadis, Aida?",2020,,
Yearning,1964,,
Poetry,2010,,
We All Loved Each Other So Much,1974,,
Twin Peaks: Fire Walk with Me,1992,,
Fargo,1996,,
Kadaisi Vivasayi,2021,,
The Devils,1971,,
Full Metal Jacket,1987,,
The Lovers on the Bridge,1991,,
The Kid,1921,,
For a Few Dollars More,1965,,
PlayTime,1967,,
WALL·E,2008,,
Trainspotting,1996,,
Citizen Kane,1941,,
Demons,1971,,
Back to the Future,1985,,
The General,1926,,
Moonlight,2016,,
Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,,
Wolfwalkers,2020,,
In a Lonely Place,1950,,
The Man Who Sleeps,1974,,
Utopia,1983,,
Inception,2010,,
The Last Picture Show,1971,,
Unforgiven,1992,,
The Turin Horse,2011,,
Casino,1995,,
Embrace of the Serpent,2015,,
Tokyo Twilight,1957,,
RRR,2022,,
Y Tu Mamá También,2001,,
Grand Illusion,1937,,
Drive My Car,2021,,
The Secret in Their Eyes,2009,,
Son of the White Mare,1981,,
"Spring, Summer, Fall, Winter... and Spring",2003,,
The Shop on Main Street,1965,,
Sunrise: A Song of Two Humans,1927,,
Kill Bill: Vol. 1,2003,,
Sound of Metal,2019,,
Fail Safe,1964,,
Manoel’s Destinies,1984,,
The Young and the Damned,1950,,
Cléo from 5 to 7,1962,,
Le Cercle Rouge,1970,,
To Live,1994,,
Mysterious Skin,2004,,
The Deer Hunter,1978,,
Macario,1960,,
Nayakan,1987,,
Dancer in the Dark,2000,,
Good Morning,1959,,
My Neighbor Totoro,1988,,
Kagemusha,1980,,
Early Summer,1951,,
Au Revoir les Enfants,1987,,
North by Northwest,1959,,
Mad Max: Fury Road,2015,,
Fallen Angels,1995,,
The Emigrants,1971,,
Ivan's Childhood,1962,,
Shame,1968,,
Dreams,1990,,
Pastoral: To Die in the Country,1974,,
"War and Peace, Part IV: Pierre Bezukhov",1967,,
Fireworks,1997,,
Time of the Gypsies,1988,,
The Given Word,1962,,
La Belle Noiseuse,1991,,
The Sting,1973,,
Persepolis,2007,,
The Conformist,1970,,
The Long Goodbye,1973,,
Rap World,2024,,
Decalogue X,1989,,
Marketa Lazarová,1967,,
"Synecdoche, New York",2008,,
All About Lily Chou-Chou,2001,,
Mind Game,2004,,
Ali: Fear Eats the Soul,1974,,
Little Miss Sunshine,2006,,
Winter Sleep,2014,,
Evolution of a Filipino Family,2004,,
Pixote,1980,,
A Face in the Crowd,1957,,
"Night Is Short, Walk On Girl",2017,,
Love Streams,1984,,
Past Lives,2023,,
Day for Night,1973,,
Star Wars,1977,,
Hiroshima Mon Amour,1959,,
"They Shoot Horses, Don't They?",1969,,
Diabolique,1955,,
Amélie,2001,,
Memento,2000,,
The Conversation,1974,,
Azur & Asmar: The Princes' Quest,2006,,
La Strada,1954,,
On the Waterfront,1954,,
Touch of Evil,1958,,
Coraline,2009,,
Cria!,1976,,
The Life of Oharu,1952,,
Day of Wrath,1943,,
A Taxi Driver,2017,,
Nostos: The Return,1989,,
The Exterminating Angel,1962,,
The Message,1976,,
A Silent Voice: The Movie,2016,,
Hundreds of Beavers,2022,,
The Count of Monte-Cristo,2024,,
Three Colours: Blue,1993,,
The Green Ray,1986,,
